term_id,item_id,relevance_label,query,duplicate_status,source_split
TERM_00416cb7,ITEM_1f8a0f23041d,0,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_22c366fe70ac,0,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_57eae3544ac6,0,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_5b26ddb1e3fe,0,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_5d42a82ac752,0,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_64ba39a1055d,0,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_6b14a4fc5ada,0,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_7bf0e162d43e,0,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_9f4c646f68b2,0,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_e761981f9e7b,1,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_eac65ea42c0a,1,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_ed411255e75b,1,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00416cb7,ITEM_f8ec07286469,0,tezgah üstü bulaşık makinesi,False,assigned_per_seed
TERM_00aae287,ITEM_08cfd239baf7,1,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_1754e9172cd2,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_1a3578b930fe,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_35ed577ec796,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_36fc0415d81d,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_3ae4d50c2a26,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_4c225696ecdf,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_4c61c173729d,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_4dfe980edcfe,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_5529064849f8,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_5e1d20d8e6e7,1,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_5f731e09c11b,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_654e793c56c5,1,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_65fd074887a7,1,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_6dfcda61758b,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_707d7e3e7d62,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_768b40b608b1,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_777f039636ef,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_77d84bf29399,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_787c3db92420,1,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_7a595f4a6d05,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_7f35b5b64fa8,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_7f9186eea33e,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_821d333a3950,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_88839b13068f,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_8aad09d26369,0,lilac home yapay çiçek,False,assigned_per_seed
TERM_00aae287,ITEM_8ff53fe48c86,0,lilac home yapay çiçek,False,assigned_per_seed
