seed,term_id,method,recall@1,hit_rate@1,precision@1,recall@5,hit_rate@5,precision@5,recall@10,hit_rate@10,precision@10,recall@20,hit_rate@20,precision@20,recall@50,hit_rate@50,precision@50,recall@100,hit_rate@100,precision@100,mrr,map@100,ndcg@10,candidate_coverage,zero_result_rate,relevant_product_availability
42,TERM_091ab2a8,tfidf_combined_enriched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.05,0.3333333333333333,1.0,0.02,0.6666666666666666,1.0,0.02,0.0769230769230769,0.0341880341880341,0.0,1.0,0.0,1.0
42,TERM_5d21d177,tfidf_combined_enriched,0.0714285714285714,1.0,1.0,0.3571428571428571,1.0,1.0,0.7142857142857143,1.0,1.0,0.8571428571428571,1.0,0.6,1.0,1.0,0.28,1.0,1.0,0.14,1.0,0.9248677248677248,1.0,1.0,0.0,1.0
42,TERM_3220af3b,tfidf_combined_enriched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,1.0,1.0,0.02,1.0,1.0,0.01,0.0833333333333333,0.0833333333333333,0.0,1.0,0.0,1.0
42,TERM_6ec4e779,tfidf_combined_enriched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,1.0,0.07,0.0172413793103448,0.0178920119046261,0.0,1.0,0.0,1.0
42,TERM_89fcbc61,tfidf_combined_enriched,0.0,0.0,0.0,0.125,1.0,0.2,0.25,1.0,0.2,0.375,1.0,0.15,0.625,1.0,0.1,0.625,1.0,0.05,0.3333333333333333,0.1323407775020678,0.1995881898277385,1.0,0.0,1.0
42,TERM_32330dce,tfidf_combined_enriched,0.5,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0,0.04,1.0,1.0,0.02,1.0,0.8333333333333333,0.9197207891481876,1.0,0.0,1.0
42,TERM_d2efe4fe,tfidf_combined_enriched,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.4,0.6666666666666666,1.0,0.2,0.6666666666666666,1.0,0.1,0.6666666666666666,1.0,0.04,0.6666666666666666,1.0,0.02,1.0,0.5555555555555555,0.7039180890341347,1.0,0.0,1.0
42,TERM_170623c6,tfidf_combined_enriched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109090909090909,1.0,0.12,0.509090909090909,1.0,0.28,0.0476190476190476,0.1069809463044437,0.0,1.0,0.0,1.0
42,TERM_bfeb788b,tfidf_combined_enriched,0.1111111111111111,1.0,1.0,0.5555555555555556,1.0,1.0,0.7777777777777778,1.0,0.7,0.8888888888888888,1.0,0.4,1.0,1.0,0.18,1.0,1.0,0.09,1.0,0.8846153846153846,0.8550956239938448,1.0,0.0,1.0
42,TERM_7f7d8dc4,tfidf_combined_enriched,0.04,1.0,1.0,0.08,1.0,0.4,0.28,1.0,0.7,0.52,1.0,0.65,0.96,1.0,0.48,1.0,1.0,0.25,1.0,0.6353721016771412,0.6659485553357843,1.0,0.0,1.0
