seed,term_id,method,latency_ms
42,TERM_091ab2a8,hybrid_weighted,0.12470900037442334
42,TERM_091ab2a8,hybrid_rrf,0.09866699929261813
42,TERM_091ab2a8,hybrid_candidate_union,0.10945800022454932
42,TERM_5d21d177,hybrid_weighted,0.10408300022390904
42,TERM_5d21d177,hybrid_rrf,0.09183299971482484
42,TERM_5d21d177,hybrid_candidate_union,0.10783400011860067
42,TERM_3220af3b,hybrid_weighted,0.11037500007660128
42,TERM_3220af3b,hybrid_rrf,0.08179199994629016
42,TERM_3220af3b,hybrid_candidate_union,0.0897919999260921
42,TERM_6ec4e779,hybrid_weighted,0.1004169998850557
42,TERM_6ec4e779,hybrid_rrf,0.08804200024314923
42,TERM_6ec4e779,hybrid_candidate_union,0.09979200058296556
42,TERM_89fcbc61,hybrid_weighted,0.09812500047701178
42,TERM_89fcbc61,hybrid_rrf,0.09133300045505166
42,TERM_89fcbc61,hybrid_candidate_union,0.10245799967378844
42,TERM_32330dce,hybrid_weighted,0.09395899996889057
42,TERM_32330dce,hybrid_rrf,0.0793330000306014
42,TERM_32330dce,hybrid_candidate_union,0.0894169997991412
42,TERM_d2efe4fe,hybrid_weighted,0.12837499980378198
42,TERM_d2efe4fe,hybrid_rrf,0.3391250002096058
42,TERM_d2efe4fe,hybrid_candidate_union,0.12029200024699094
42,TERM_170623c6,hybrid_weighted,0.10437499986437615
42,TERM_170623c6,hybrid_rrf,0.08970799990493106
42,TERM_170623c6,hybrid_candidate_union,0.10283299980073934
42,TERM_bfeb788b,hybrid_weighted,0.08600000001024455
42,TERM_bfeb788b,hybrid_rrf,0.07833400013623759
42,TERM_bfeb788b,hybrid_candidate_union,0.08654100020066835
42,TERM_7f7d8dc4,hybrid_weighted,0.09837499965215102
42,TERM_7f7d8dc4,hybrid_rrf,0.08883400005288422
42,TERM_7f7d8dc4,hybrid_candidate_union,0.09937499999068677
42,TERM_01b2d23a,hybrid_weighted,0.11116599944216432
42,TERM_01b2d23a,hybrid_rrf,0.10308299988537328
42,TERM_01b2d23a,hybrid_candidate_union,0.11941699995077215
42,TERM_9f1afdf5,hybrid_weighted,0.11541700041561853
42,TERM_9f1afdf5,hybrid_rrf,0.10066699996968964
42,TERM_9f1afdf5,hybrid_candidate_union,0.10124999971594661
42,TERM_b99215bc,hybrid_weighted,0.07954200009407941
42,TERM_b99215bc,hybrid_rrf,0.074667000262707
42,TERM_b99215bc,hybrid_candidate_union,0.08116699973470531
42,TERM_f4e8f171,hybrid_weighted,0.11466700016171671
42,TERM_f4e8f171,hybrid_rrf,0.10037499941972783
42,TERM_f4e8f171,hybrid_candidate_union,0.11224999980186112
42,TERM_76ff09fe,hybrid_weighted,0.11762500071199611
42,TERM_76ff09fe,hybrid_rrf,0.09941700045601465
