segment,retrieval_mode,policy,recall@10_mean,recall@10_count,recall@20_mean,recall@20_count,recall@50_mean,recall@50_count,recall@100_mean,recall@100_count,precision@10_mean,precision@10_count,map@10_mean,map@10_count,ndcg@10_mean,ndcg@10_count,mrr_mean,mrr_count
age_specific,hybrid_rrf,blended_policy,0.47062894826052726,39,0.5694232996864576,39,0.8517872031029926,39,0.9318101212838056,39,0.22564102564102567,39,0.4118879642125256,39,0.5349037188365137,39,0.6419746919746919,39
age_specific,hybrid_rrf,experimental_ranker,0.47062894826052726,39,0.5694232996864576,39,0.8517872031029926,39,0.9318101212838056,39,0.22564102564102567,39,0.4118879642125256,39,0.5349037188365137,39,0.6419746919746919,39
age_specific,hybrid_rrf,retrieval_only,0.5454899257530836,39,0.6505320334267702,39,0.8083869873343558,39,0.9318101212838056,39,0.2717948717948718,39,0.4081968324950781,39,0.570435958188618,39,0.6768448798299544,39
age_specific,hybrid_rrf,v1_relevance,0.47062894826052726,39,0.5694232996864576,39,0.8517872031029926,39,0.9318101212838056,39,0.22564102564102567,39,0.4118879642125256,39,0.5349037188365137,39,0.6419746919746919,39
age_specific,tfidf,blended_policy,0.46265174028331923,39,0.5617524420155999,39,0.8132935619777725,39,0.908338572812257,39,0.2205128205128205,39,0.4087156504152118,39,0.5273475884609257,39,0.6264141414141414,39
age_specific,tfidf,experimental_ranker,0.46265174028331923,39,0.5617524420155999,39,0.8132935619777725,39,0.908338572812257,39,0.2205128205128205,39,0.4087156504152118,39,0.5273475884609257,39,0.6264141414141414,39
age_specific,tfidf,retrieval_only,0.5411426937742727,39,0.6388425243688401,39,0.7952554492028175,39,0.908338572812257,39,0.24615384615384614,39,0.3536726556024802,39,0.514872316205239,39,0.5874005178222046,39
age_specific,tfidf,v1_relevance,0.46265174028331923,39,0.5617524420155999,39,0.8132935619777725,39,0.908338572812257,39,0.2205128205128205,39,0.4087156504152118,39,0.5273475884609257,39,0.6264141414141414,39
attribute_heavy_query,hybrid_rrf,blended_policy,0.6739758779232463,21,0.7710754158122578,21,0.8833768570610675,21,0.9865689865689866,21,0.36190476190476195,21,0.510044585044585,21,0.6823156580482885,21,0.7579365079365079,21
attribute_heavy_query,hybrid_rrf,experimental_ranker,0.6739758779232463,21,0.7710754158122578,21,0.8833768570610675,21,0.9865689865689866,21,0.36190476190476195,21,0.510044585044585,21,0.6823156580482885,21,0.7579365079365079,21
attribute_heavy_query,hybrid_rrf,retrieval_only,0.734706813654182,21,0.826273872326504,21,0.9456654456654456,21,0.9865689865689866,21,0.4,21,0.6312835295448077,21,0.7984765494062058,21,0.9047619047619048,21
attribute_heavy_query,hybrid_rrf,v1_relevance,0.6739758779232463,21,0.7710754158122578,21,0.8833768570610675,21,0.9865689865689866,21,0.36190476190476195,21,0.510044585044585,21,0.6823156580482885,21,0.7579365079365079,21
attribute_heavy_query,tfidf,blended_policy,0.6739758779232463,21,0.7692439139807561,21,0.8739783608204661,21,0.9407814407814408,21,0.36190476190476195,21,0.510044585044585,21,0.6823156580482885,21,0.7579365079365079,21
attribute_heavy_query,tfidf,experimental_ranker,0.6739758779232463,21,0.7692439139807561,21,0.8739783608204661,21,0.9407814407814408,21,0.36190476190476195,21,0.510044585044585,21,0.6823156580482885,21,0.7579365079365079,21
attribute_heavy_query,tfidf,retrieval_only,0.6734070023543708,21,0.7680959391485707,21,0.891885891885892,21,0.9407814407814408,21,0.35714285714285715,21,0.5409213271760264,21,0.7082793337621986,21,0.8531746031746033,21
attribute_heavy_query,tfidf,v1_relevance,0.6739758779232463,21,0.7692439139807561,21,0.8739783608204661,21,0.9407814407814408,21,0.36190476190476195,21,0.510044585044585,21,0.6823156580482885,21,0.7579365079365079,21
brand_query,hybrid_rrf,blended_policy,0.5956867954507649,322,0.7436771332151951,322,0.8815664948513064,322,0.9565443446256782,322,0.3854037267080745,322,0.4427682917921925,322,0.6309714347684026,322,0.6977452129935579,322
